id,german,english,extra,tags,source_deck
1579035462431,etwas/nichts ändern ..... + Dat.Du solltest etwas ..... deinem Verhalten ändern und nicht mehr so egoistisch sein.,etwas/nichts ändern an + Dat.Du solltest etwas an deinem Verhalten ändern und nicht mehr so egoistisch sein.,,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035507677,arbeiten .... + Dat. Wo....arbeitest du zurzeit? Wir arbeiten ... einem neuen Projekt.,arbeiten an + Dat. Woran arbeitest du zurzeit? Wir arbeiten an einem neuen Projekt.,,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035544577,"jn./etw. erkennen an + Dat. Wo...... erkennt man, dass jemand traurig ist? Wo...hast du das erkannt? Du erkennst sie ... ihren feuerroten Haaren.","jn./etw. erkennen an + Dat. Woran erkennt man, dass jemand traurig ist? Woran hast du das erkannt? Du erkennst sie an ihren feuerroten Haaren.",,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035568684,erkranken .... + Dat. Sie ist ....... einer Grippe erkrankt.,erkranken an + Dat. Sie ist an einer Grippe erkrankt.,,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035586488,jm. fehlen .... (es) + Dat. Woran fehlt es? Momentan fehlt es in dem Land ...  allem. Mir fehlt es ..... Geduld.,jm. fehlen an (es) + Dat. Woran fehlt es? Momentan fehlt es in dem Land an allem. Mir fehlt es an Geduld.,,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035610122,forschen .... + Dat. Die Mediziner forschen ... der Entwicklung einer neuen Therapie zur Bekämpfung dieser Krankheit.,forschen an + Dat. Die Mediziner forschen an der Entwicklung einer neuen Therapie zur Bekämpfung dieser Krankheit.,,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035718880,gewinnen ..... + Dat. Mit der Zeit hat das Kind .... Selbstbewusstsein gewonnen. Diese Gruppierung hat ..... Einfluss gewonnen.,gewinnen an + Dat.Mit der Zeit hat das Kind an Selbstbewusstsein gewonnen.Diese Gruppierung hat an Einfluss gewonnen.,,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035761819,"jn. hindern .... + Dat. Sie haben mich ....... gehindert, meine Träume zu verwirklichen.","jn. hindern an  + Dat. Sie haben mich daran gehindert, meine Träume zu verwirklichen.",,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035791208,leiden .... + Dat. Er leidet schon sehr lange .... Arthrose. Sie leidet noch nicht lange .... dieser Krankheit.,leiden an + Dat. Er leidet schon sehr lange an Arthrose. Sie leidet noch nicht lange an dieser Krankheit.,,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
1579035819000,"liegen an....  + Dat. Wo.... liegt das? Wo... liegt es, dass wir nicht gewinnen? Es stellt sich die Frage, wo.. das liegt. Es liegt nur ... dir. Es liegt da...., dass er mir nie zuhört.","liegen an + Dat. Woran liegt das? Woran liegt es, dass wir nicht gewinnen? Es stellt sich die Frage, woran das liegt. Es liegt nur an dir. Es liegt daran, dass er mir nie zuhört.",,,Verben_mit_Prpositionen_und_Beispiele_A1_bis_C2_365_verb_
