german,frequency,pattern,example_sentence,translation,sources
ich möchte,942,ich_moechte,sich/etw. richten .... + Akk. ... wen richtet sich diese Botschaft? Das Buch richtet sich ... das Verantwortungsbewusstsein der Leser. Ich möchte noch ein paar Worte ... die Gäste richten.,sich/etw. richten an + Akk. An wen richtet sich diese Botschaft? Das Buch richtet sich an das Verantwortungsbewusstsein der Leser. Ich möchte noch ein paar Worte an die Gäste richten.,['Verben_mit_Prpositionen_und_Be']
ist ein,883,sein_adj,zu tun haben ...  + Dat. .... dir will ich nichts mehr zu tun haben.  Ich bin unschuldig und habe .... dieser Sache nichts zu tun.  Wo.... hat das zu tun?  Das Viertel hat sich zum Positiven hin verän,zu tun haben mit + Dat. Mit dir will ich nichts mehr zu tun haben.  Ich bin unschuldig und habe mit dieser Sache nichts zu tun.  Womit hat das zu tun?  Das Viertel hat sich zum Positiven hin verändert,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist nicht,778,sein_adj,"eingehen ... + Akk. Sie ist nicht ... meine Frage eingegangen. Ich möchte jetzt noch kurz ... das eingehen, was Sie eben gesagt haben.","eingehen auf + Akk. Sie ist nicht auf meine Frage eingegangen. Ich möchte jetzt noch kurz auf das eingehen, was Sie eben gesagt haben.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
nicht mehr,764,nicht_mehr,etwas/nichts ändern ..... + Dat.Du solltest etwas ..... deinem Verhalten ändern und nicht mehr so egoistisch sein.,etwas/nichts ändern an + Dat.Du solltest etwas an deinem Verhalten ändern und nicht mehr so egoistisch sein.,['Verben_mit_Prpositionen_und_Be']
ist das,698,sein_adj,"Das ist das Dümmste, was ich je gesagt habe.",That's the stupidest thing I've ever said.,['100k_German_sentences_with_aud']
ist der,620,sein_adj,Heute ist der achtzehnte Juni — und Muiriels Geburtstag!,Today is June 18th and it is Muiriel's birthday!,['100k_German_sentences_with_aud']
es gibt,551,es_gibt,"Es gibt da ein Problem, das du nicht siehst.",There's a problem there that you don't see.,['100k_German_sentences_with_aud']
habe ich,526,haben_noun,"sich gewöhnen .... + Akk. Wir müssen uns ... den neuen Lehrer gewöhnen. Ich habe mich so ... euch gewöhnt, dass ich euch jetzt, wo ihr nicht mehr hier seid, sehr vermisse. Ich habe mich da.... gewöhnt","sich gewöhnen an + Akk. Wir müssen uns an den neuen Lehrer gewöhnen. Ich habe mich so an euch gewöhnt, dass ich euch jetzt, wo ihr nicht mehr hier seid, sehr vermisse. Ich habe mich daran gewöhnt, jed",['Verben_mit_Prpositionen_und_Be']
ist eine,507,sein_adj,Der Kreationismus ist eine Pseudowissenschaft.,Creationism is a pseudo-science.,['100k_German_sentences_with_aud']
haben sie,507,haben_noun,reagieren ....+ Akk. Wie haben sie ..... deine Entscheidung reagiert? Sie haben überhaupt nicht da..... reagiert.,reagieren auf + Akk. Wie haben sie auf deine Entscheidung reagiert? Sie haben überhaupt nicht darauf reagiert.,['Verben_mit_Prpositionen_und_Be']
ist die,474,sein_adj,"Das ist die Stadt, von der ich dir erzählt habe.",This is the town I told you about.,['100k_German_sentences_with_aud']
ist es,464,sein_adj,"investieren ... + Akk. Die Firma hat ....moderne Maschinen investiert. Ich hatte ihm empfohlen, nicht ....  diese Aktien zu investieren. Wenn er dann doch da....  investiert, ist es sein Problem.","investieren in + Akk. Die Firma hat in moderne Maschinen investiert. Ich hatte ihm empfohlen, nicht in diese Aktien zu investieren. Wenn er dann doch darin investiert, ist es sein Problem.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
nicht,456,sich_verb,"sich halten .... + Akk. Halten Sie sich ... den Hausmeister, wenn Sie Hilfe brauchen. Alle müssen sich ... die Regeln halten.  Er hat sich nicht ... unsere Abmachung gehalten.","sich halten an + Akk. Halten Sie sich an den Hausmeister, wenn Sie Hilfe brauchen. Alle müssen sich an die Regeln halten.  Er hat sich nicht an unsere Abmachung gehalten.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bist du,308,sein_adj,"kommen .... + Akk. Wie bist du bloß .....  diese Idee gekommen? Wie kommst du da.....? Ich dachte, der Name würde mir wieder einfallen, aber ich bin nicht mehr da... gekommen, wie er heißt.","kommen auf + Akk. Wie bist du bloß auf diese Idee gekommen? Wie kommst du darauf? Ich dachte, der Name würde mir wieder einfallen, aber ich bin nicht mehr darauf gekommen, wie er heißt.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
in,295,sich_verb,sich berufen ... + Akk. Die Zeitung beruft sich in dem Artikel ... eine sichere Quelle. Er beruft sich .....  sein Recht zur freien Meinungsäußerung.,sich berufen auf + Akk. Die Zeitung beruft sich in dem Artikel auf eine sichere Quelle. Er beruft sich auf sein Recht zur freien Meinungsäußerung.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist in,255,sein_adj,Ihre Armbanduhr ist in Form und Farbe so ähnlich wie meine.,Your watch is similar to mine in shape and color.,['100k_German_sentences_with_aud']
habt ihr,229,haben_noun,"sich einigen ... + Akk. Wir sollten versuchen, uns ... einen Kompromiss zu einigen. Wor..habt ihr euch geeinigt? Wir haben uns da.. geeinigt, die Klassenfahrt nach Berlin zu machen","sich einigen auf + Akk. Wir sollten versuchen, uns auf einen Kompromiss zu einigen. Worauf habt ihr euch geeinigt? Wir haben uns darauf geeinigt, die Klassenfahrt nach Berlin zu machen",['Verben_mit_Prpositionen_und_Be']
bin ich,226,sein_adj,"sein ... + Akk. Ich bin .... eine schnelle Entscheidung. Da es regnet, bin ich da..., die Veranstaltung abzusagen. Wo... sind Sie?  Ich bin da.... Und Sie, sind Sie dafür oder dagegen?","sein für + Akk. Ich bin für eine schnelle Entscheidung. Da es regnet, bin ich dafür, die Veranstaltung abzusagen. Wofür sind Sie?  Ich bin dafür. Und Sie, sind Sie dafür oder dagegen?","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
